CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
27001770100,Minnesota,Aitkin,2230,1159,1071,0.6,94.6,0.7,2.5,0.6,0,1899,47352,1598,26669,1849,8.4,11.9,25.3,19.8,23.8,14.7,16.3,75.6,11.6,0.5,3.8,2.2,6.3,26.4,877,67.7,19,12.9,0.3,6.8
27001770200,Minnesota,Aitkin,2065,1070,995,0.7,93.4,0.1,1.7,0.2,0,1675,41477,4142,24391,1853,10.7,7.9,28.3,22,23.5,10.5,15.7,80.2,12.4,0.6,1.5,1.1,4.1,28.6,820,78.8,12.2,9,0,10.3
27001770300,Minnesota,Aitkin,3470,1667,1803,0.7,96.2,0.3,0.7,0.4,0,2672,38711,7244,26275,5486,18.3,20.3,25.3,29.9,24.3,7.3,13.2,78.9,6.9,0.5,7.6,1.4,4.7,17.3,1565,82.5,10.5,7,0,4.9
27001770400,Minnesota,Aitkin,3090,1586,1504,3.2,87.9,0.4,5,0.1,0,2549,36356,2538,22841,2479,16.2,16.1,26.3,25.9,18.5,17.4,12,80.3,7.5,0,6.1,0.8,5.3,27,1210,71.3,19.3,9.2,0.2,10.8
27001790501,Minnesota,Aitkin,1865,977,888,0.4,97.6,0.5,0.2,0.1,0,1559,40847,3493,24290,1556,11.5,11,32.1,16.6,18.6,16.3,16.3,77.8,11.4,0.3,1.7,1.8,7,33.4,667,72,16.6,10.6,0.7,9.4
27001790502,Minnesota,Aitkin,3119,1605,1514,0.5,97.4,0.2,0.5,0.4,0,2673,52246,3101,28356,1667,7.1,6.8,30.2,15.7,31.3,14.9,7.9,82.2,9.2,0.2,2,1.7,4.6,25.6,1289,75.3,15.5,9,0.2,3.7
27003050107,Minnesota,Anoka,2832,1415,1417,0.5,96.9,0.6,0,0,0,2064,76406,8536,27937,1877,4.9,2.3,26.2,17.2,30.5,10.9,15.2,85.3,8.4,0,1,0.8,4.4,36.7,1550,85.8,8.8,5.4,0,3.7
27003050108,Minnesota,Anoka,4931,2592,2339,1,92.7,0.1,0.2,2.1,0,3627,65313,10657,26651,2006,9.2,8.6,26.7,14.4,26.3,14.6,18,80.6,13.6,0.5,0.4,0.8,4.2,36.4,2668,84.5,10.8,4.7,0,5.9
27003050109,Minnesota,Anoka,5141,2748,2393,0.4,97.4,0,0.9,0,0,3957,94821,13199,32661,1841,5.8,7.7,35.7,9.2,23.6,14.2,17.3,86.2,5.4,1.4,0,0,7,37.7,2968,84,11.5,4.4,0,4.9
27003050110,Minnesota,Anoka,2665,1358,1307,1.2,97.9,0,0,0.4,0,2076,81761,7414,32520,2593,7.8,12.3,31.1,13.7,27.3,10.4,17.7,76,19,0.9,0.5,1,2.7,33.9,1574,82,13.3,4.7,0,4.7
