y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
13.7,8064,7775,94.4,0.3,1.8,1.1,0.3,0,13027,42252,893,25591,1517,12.4,27.6,22.5,23.9,13.1,13,79.4,9.3,0.3,4.3,1.5,5.2,25.1,6428,75.4,15.2,9.2,0.2,7.3
10.4,169586,169178,83.8,4.9,0.6,3.9,4.1,0,245735,70873,867,31775,446,7.7,36.7,15.4,25.1,8.5,14.3,82.1,8.5,3.4,1.1,0.9,4,28.1,181190,84.7,11,4.2,0.1,6.2
17,16601,16537,86.8,0.5,7,1.8,0.5,0,24673,52038,1729,26399,623,12.8,32.7,17.5,20.2,13.7,15.9,77.8,10.8,0.4,2.9,1.5,6.6,22.8,15929,74.3,16.4,9,0.3,3.5
23.6,22740,22694,73.4,0.8,20,1.9,0.9,0.1,33584,44757,2090,22524,984,18.8,31.4,22.9,24.4,9.5,11.7,75.8,11.2,2,3.2,1.3,6.5,20.2,20579,66.8,26.9,6.2,0.1,10.6
18.7,19500,19721,92.7,2.3,0.3,1.9,1.1,0,29110,52178,2429,25341,656,14.9,29.5,17.4,21.3,11.5,20.3,81.9,9.1,1,1.5,1.6,4.9,23.3,20104,82.9,11.2,5.7,0.2,6.7
23.5,2496,2638,97.1,0.2,0.2,1.1,0.1,0,4047,47794,3309,27426,1569,14.4,34.3,17,20.3,15.4,12.9,75.7,9.8,0.5,5.1,0.8,8.2,17.1,2406,67.9,18.3,13.5,0.2,3.3
14.6,32760,32365,89.7,3,0.4,2.9,2,0,51011,50061,1511,26440,893,19.1,32.5,20,25,7.7,14.8,80.8,8,1.2,4.5,1,4.5,17,36492,81,13.8,5.1,0.1,4.9
8.1,12620,12771,94.5,0.4,0.1,3.7,0.4,0.1,19712,52598,2042,28018,1126,7.8,31.3,17.1,21.9,11.5,18.2,78,7.6,0.6,5.2,1.3,7.3,14.3,13583,81.1,9.9,8.8,0.2,3.2
15.7,18256,17187,88.6,1.2,5.4,1.6,0.6,0,27070,53227,2135,24584,630,13.7,30.9,23.3,20.1,10.2,15.5,82.9,8.3,0.3,2.9,0.9,4.7,20.8,16478,72.8,20.4,6.4,0.3,5.4
4.4,47387,48328,90,1.1,0.1,4.1,2.5,0,66281,86323,2160,40322,1163,4.4,45,14.3,24.6,6.8,9.4,82.4,6.6,1.8,1.3,0.9,6.9,25.6,52573,84.7,9.6,5.5,0.2,3.8
29,14512,14007,84.2,0.3,10.6,1.6,0.5,0,22352,46531,916,25720,975,16.6,29.4,21,23.7,13.3,12.7,76.2,10.2,0.8,3.4,1.5,7.9,23.1,12165,71.4,17.9,10.4,0.3,7.4
20.2,5984,6170,90,0.8,1.3,5.7,0.2,1,9128,50858,2807,26372,836,12.2,29.8,20.9,18.2,12.8,18.3,79.8,8.9,0.9,3.4,1.1,5.9,17.3,6367,76.5,14.8,8.5,0.3,2.6
3.5,27832,26002,94.2,1.1,0.4,1.8,0.8,0,40552,71001,1943,29553,760,5.5,33.5,16.4,23.5,12.3,14.2,82.5,9.2,1,1.2,1.6,4.4,32.6,27553,81.4,13.3,5.2,0.2,5.5
12.5,30072,30807,89.7,1.9,1.1,4.1,1.1,0,45728,57965,2431,25896,544,12.7,34.4,19.3,23.9,9.6,12.9,78.7,8.2,0.9,5.4,1.6,5.2,18.6,33104,80.6,13.6,5.7,0.1,4.3
25.3,4429,4323,85.8,0.3,8.5,1.6,0.4,0.1,6546,43421,1966,23391,979,16.9,26.9,19.3,17.1,19.6,17.2,76.7,12.5,0.6,3.2,1.1,5.8,25.3,3634,70.3,20.1,9.2,0.4,7.4
22.1,2602,2592,86.5,0.9,7.4,1.7,0.9,0.3,4194,52299,3546,33056,2767,11.4,33.9,28.2,18.8,12.4,6.7,69.8,10.4,0.4,10.1,0.8,8.5,16.9,2788,61.9,26.4,11,0.6,4
23.2,5685,5947,87.7,0.6,0.5,7,2.7,0,8620,46750,3851,24978,1079,16.8,29.6,17.9,20.1,12.3,20.2,72.5,10.5,1.2,6.6,1.8,7.4,17.3,5408,75.1,13.3,11.3,0.3,4.9
14.4,31459,31589,95.5,0.6,1.1,1.3,0.5,0,48487,49435,1589,27936,878,11.3,31.7,20,26,10.1,12.2,82.4,8.5,0.4,1.5,1.4,5.8,21.6,29263,81.1,11.3,7.4,0.2,5.7
10.6,200534,207922,80.8,5.1,0.2,6.4,4.6,0,290269,75567,820,36171,410,7.7,42.4,15.1,25.4,6.1,11,81.8,8,3.3,1.1,1,4.7,24.1,223989,83.8,11.9,4.2,0.1,5
9.3,10144,10146,93,0.5,0.1,4.8,0.4,0,14446,68116,2915,30091,967,6.7,36.7,15.8,20,10.7,16.9,80.8,9.2,1,1.6,0.9,6.4,24,10890,83.8,10.1,6,0.1,3.5
10.4,18331,18289,96.6,0.6,0.2,1.3,0.2,0,28700,54531,2085,29953,1253,9.6,33.2,16.9,24.2,9.2,16.5,83.2,7.4,0.4,2.5,1.2,5.4,18.1,18975,79,13.1,7.7,0.2,4.5
22.6,7165,7065,92.1,0.3,0.2,6.1,0.4,0,11023,47540,2494,27135,1094,13.5,32.1,17.6,19.5,14.1,16.7,78.5,8.5,0.3,4.4,1,7.3,18.7,7117,74.6,12.5,12.6,0.3,4.2
16.5,10445,10398,97.3,0.4,0.1,1.1,0.4,0,15728,51665,1872,26348,626,11.1,34.7,18.2,18.7,13.8,14.6,71.7,11.7,2.8,4.9,1.8,7.1,25.8,10595,77.2,11.7,10.6,0.5,4.3
17.6,15304,15593,87.2,1.1,0.2,9.3,1.2,0,23408,47105,1270,26494,802,12.1,27.4,18.6,22,11.7,20.3,81.9,9.5,0.9,1.7,2.7,3.3,18.7,15322,83,9.6,7.4,0.1,4.9
17.1,23098,23279,92.7,1.1,1.1,3.1,0.6,0,34948,57062,2249,30236,1122,11.2,34.5,17,20.3,10.7,17.5,80.6,8.3,1,3.8,1.2,5.1,23.5,23662,81.2,10.7,8,0.2,5.3
12.4,2985,2976,96.2,0,0.6,1.8,0.3,0,4650,50174,3814,27952,1010,9.1,34.7,15.1,22.7,14.4,13.1,79,6.5,0.6,6.6,1.2,6.1,22.5,2943,71.4,14.3,13.9,0.4,3.6
16.8,589781,607995,70.4,12,0.6,6.8,6.7,0,855006,65834,616,38724,305,12.5,47.7,15.6,23.2,4.3,9.2,73.4,8.1,7.3,3.4,2.6,5.2,23.1,650324,84.9,10.1,4.8,0.1,6
17.3,9405,9407,96.7,0.3,0.3,0.8,0.2,0,14676,53809,1937,27626,782,11,33.9,16.8,20.3,13.9,15,80.3,7.6,0.5,3.4,1.9,6.2,21.1,9795,80.2,9.7,9.9,0.2,4.9
17.1,10282,10292,93.5,0.5,2,1.8,0.5,0,16106,47486,1961,25725,698,11.6,30.3,19.9,22.7,12.4,14.8,79.4,9.2,0.4,3.6,1.2,6.1,21.3,9475,72.9,17.3,9.6,0.2,5
7,19300,18996,94.5,0.6,0.6,1.8,0.7,0,28594,59865,1971,27152,1063,7.4,28.4,16.3,25.5,12.6,17.2,80.8,9.9,1.3,1.4,1.4,5.1,34.1,19504,83.2,11.3,5.4,0.1,7.3
20.8,22949,22405,92.3,0.5,3.2,1.2,0.4,0.1,35560,47761,1493,25219,640,13.6,31.2,20.1,21.8,12.7,14.2,80.7,9.9,1,3.3,0.9,4.3,22.5,19970,77.5,15.7,6.3,0.5,7.1
16.7,5154,5057,93.5,0.2,0.1,3.2,2.5,0,7796,50574,2147,27494,1066,10.8,34.7,16.4,18.2,11,19.7,80.2,8.8,0.2,3,1.2,6.7,18.1,5392,71.4,12.8,15.3,0.5,3.2
21.3,8121,7882,95.3,0.4,1,1.6,0.3,0,12348,47384,2277,23661,761,14.2,27.4,19.3,21.3,14.3,17.7,78.8,11.7,0.2,2.1,2,5.1,32.3,7287,78.6,13.5,7.8,0.1,9.8
17.6,21336,21108,83.7,2.8,0.3,11.6,0.6,0,31010,52632,1266,27560,814,11.7,32.8,17,20.7,12.8,16.8,84.2,7.9,1,1.9,1.3,3.8,17.3,21757,78.1,14.3,7.1,0.5,4.8
17.1,2251,2229,96.4,0.6,0.2,1.9,0.2,0,3485,52326,4175,29279,1387,10.9,33.9,14.3,17.5,11.5,22.8,69.2,10.5,1.8,8.6,1,8.9,20.3,2182,69.2,19,11.6,0.2,2.8
18.1,6535,6519,93.7,0.9,3.3,0.1,0.6,0,10163,42919,2720,25398,1651,15.2,27.5,18.6,23.2,11.9,18.8,72.4,14.2,1.9,4,2,5.5,14.9,5877,79.4,13.8,6.7,0.1,7.8
8.7,3526,3497,96,0.6,0.4,1.7,0.6,0,5522,49903,2122,29541,1423,8.2,36.3,16.6,19.6,12.5,14.9,74.9,8.3,0.2,5.1,1,10.5,16.6,3506,70.4,12.7,16.5,0.3,3.7
22.4,5451,5299,96.3,0.1,0.2,1.2,0,0.1,8647,48417,1965,29346,1351,13,30.5,23.6,18.2,13.6,14.2,75.9,11,0.1,5.9,2.1,5,22,4870,74.8,17.4,7.8,0.1,4.8
9.9,2032,1917,94.3,0.6,0.5,1,0.9,0,3163,42263,4092,22543,1721,9.3,27.7,16.2,18.6,12.2,25.4,71,15.3,0.1,6.4,0,7.3,19.3,1975,78.3,8.8,12.9,0,4.8
11.8,14008,13699,91.9,0.5,0.4,5.6,0.5,0,20422,60632,1413,28483,771,9.1,31.9,16.5,19.8,12.6,19.3,81.7,9.4,0.6,2.8,0.8,4.7,25,14456,79.1,14,6.8,0.2,5.3
7.2,2918,2890,96.9,0.4,0.4,1.7,0.2,0,4500,49575,3416,26910,1232,9.3,32.8,18.9,18,16.2,14.1,75.3,8.2,0.1,5.7,1,9.7,20.3,2974,72.7,11.6,15.3,0.4,2.8
20.2,12818,12881,86.6,2.8,0.5,6.3,3.3,0,18563,51600,1294,28010,1927,14.1,33.2,15.2,21.9,10.8,18.8,75.4,12.4,0.9,3.6,1.7,6.1,14.6,13788,79.1,12.1,8.7,0.1,5.3
11.8,17888,18158,92.4,0.4,0.2,5.3,0.6,0,26700,56128,2339,27612,793,8.1,30.5,17.3,20.7,10.1,21.4,82.7,8.9,0.3,2.9,1.5,3.7,22.8,18957,85.5,8.5,5.9,0.1,4.5
37.8,2772,2724,47.8,0.5,39.2,2.9,0.4,0.4,3796,41118,1682,19743,688,24.9,26.8,31.5,18.7,13.1,9.9,75.4,12.5,2,4.9,0.7,4.5,20.7,2222,59.2,32.4,8.2,0.2,9.2
8.8,4793,4660,94,0.3,0.4,4,0.2,0,7177,54092,2156,27863,1000,7.9,33.3,14,20.7,13.6,18.4,76.6,11.1,0.5,3,1.5,7.3,23.3,4726,76.9,12.8,10,0.3,4.7
17.6,10050,10300,94,0.3,0.2,3.9,0.5,0,15639,51391,3518,28244,1181,11.4,30.9,16.6,21.8,13.2,17.5,80,9.2,1,3.1,1.6,5.2,17.1,10273,79.8,9.3,10.5,0.3,3.5
12.8,11675,11454,94.9,0.3,0.1,3.4,0.4,0.1,17031,55042,2206,27313,766,10.1,32.2,15.2,18.8,11.6,22.3,82.9,8.3,0.3,3,1.2,4.4,25.2,11477,80.6,11.4,7.3,0.7,4.7
15.7,12980,12829,89.9,0.5,5,1.8,0.4,0,19387,49094,2433,23603,742,12.2,28.2,19.3,21.2,13.5,17.8,80.5,10.5,0.5,2.5,1.5,4.4,28.7,11752,78.2,15.1,6.6,0.1,7.7
12.3,16663,16299,96.3,0.5,0.1,1.4,0.5,0,24970,50049,1481,24984,797,11.3,29.5,16.5,21.5,13.1,19.4,78.6,9.8,0.3,3.2,1.1,7,25.7,16533,77.6,12,9.7,0.6,5.8
18.8,19579,19648,82.4,3,0.1,10.9,2,0.1,27943,49427,1840,26265,1099,14,28.9,16.8,21,9.6,23.7,78.4,10.6,1.7,3.1,2.2,4,17.2,19166,83.5,10.2,6.3,0.1,6.5
12.5,4227,4302,94.3,0.4,0.3,3.2,0.4,0.4,6557,51983,2190,28976,990,9.2,36.9,15.1,18.5,13.3,16.2,75.7,9.2,0.6,4.8,1.2,8.4,19.8,4244,70.7,15.2,13.6,0.4,4.5
10.8,16492,16594,90.6,2.4,0.2,4.1,1.5,0,25139,58640,2676,28118,1123,12.4,38.5,17,23.4,8,13.2,77.5,6.8,0.9,4.5,1.3,9,16.6,18672,78.3,15.5,6,0.2,4
22.4,11190,10497,62.5,3.9,0.2,25.3,5.7,0,13169,50625,1945,23515,960,15.6,24.6,15.3,19.3,13.1,27.7,71.5,16.9,0.3,3.6,3.3,4.3,17.7,10431,81.3,9.5,8.9,0.3,6.9
21.8,3353,3339,90.4,0.5,1.8,4.6,0.4,0.2,5113,50377,2577,25314,835,12.9,33.5,17.5,20.4,14.6,14,79.1,6.5,0.3,4.2,1.5,8.4,21.7,3105,69.2,15.9,14.5,0.4,5.1
10.8,72773,75963,82,5.1,0.1,4.6,5.9,0,105144,68023,1887,35267,639,9,48.1,16.2,20,6.3,9.5,74.5,11.8,5,3.2,1.7,3.7,17.4,80162,86.2,9.1,4.6,0.1,4.1
12.3,28840,28671,93.7,1.2,0.3,3,0.6,0,44411,52365,1322,28066,652,10,34.5,16.4,20.1,12,17,77.2,10.8,0.9,4,1.5,5.5,20.8,27662,77.5,13.1,9.2,0.3,4.4
10.8,7087,7023,91.3,1.6,1.4,3.3,0.8,0.4,10672,47127,3736,25500,924,9.3,28.4,13.8,29.7,9.6,18.5,73,14,0.9,4.1,2.8,5.2,15,7636,82.9,9.3,7.6,0.2,3
20.7,15605,13613,89.9,2,2.3,2.7,0.5,0,22850,44549,1426,22436,531,14.6,25,23.8,20.6,14.1,16.5,78.2,12.9,0.7,2.9,1.3,4,30.1,12645,75.5,16.9,7.3,0.3,7.4
17.5,4550,4804,91.1,1.3,1.3,4.7,0.4,0.2,6838,46990,2056,26842,2120,12.9,28.7,17.3,21.7,16.2,16.1,74.5,11.4,0.7,4.5,1.1,7.8,18.9,4572,77.3,10.5,12,0.2,4.2
17.4,15940,15607,89,1.1,1,5.8,0.8,0,23758,53326,1183,26766,627,13.1,34.8,16.7,22.6,11.4,14.4,81.6,8.3,0.5,3.3,1.2,5.1,17.6,15978,75.5,16.5,7.8,0.2,4.6
11.5,5550,5398,96.9,0.5,0.5,1.1,0.4,0,8616,52785,3014,30071,1429,9.4,35.2,14.9,22.7,9.1,18.1,79.3,8.9,0.4,4.8,1.4,5.3,18.7,5406,77.7,13.3,8.5,0.5,4.1
24.3,256288,271123,64.6,10.9,0.5,7.3,13.2,0,370661,56104,872,30333,374,16.5,43.1,17.2,23,5.2,11.5,74.2,9.4,6.3,2.9,2,5.1,23.4,266709,81.8,13.7,4.4,0.1,7.1
11.9,2067,1994,93.1,0.6,1.5,3,0.2,0,3041,50332,2974,25183,1261,10.7,29,13.6,26.2,13.9,17.4,78.3,10.9,0.2,4,0.5,6,22.1,2079,77.2,13.5,9,0.3,3.5
17.2,7898,7825,87.7,0.7,4.8,2.7,3.3,0,11651,47211,1479,25716,787,11.8,33.6,18.7,19.3,13.2,15.2,75.9,9.2,0.6,4.7,1.1,8.5,16.4,7577,77.1,10.2,12.3,0.3,4
17.7,7715,7456,89.5,0.8,1,7.5,0.6,0,11545,52149,1883,28698,836,11.1,32.5,15.4,17.8,14.1,20.2,80.7,7.1,0.3,3.4,1.4,7.1,18.4,7573,77.8,12,10.1,0.1,5
16,33038,31848,84.4,3.8,0.5,7.8,2.3,0.1,47359,59598,2035,26660,727,11.4,35.9,17.9,20.9,9.9,15.4,72.5,7.5,0.7,4.1,2.1,13.2,22.7,33503,82.4,10.8,6.5,0.3,5.6
14.6,4651,4912,94.8,0.5,0.6,2.4,0.9,0,7006,51496,3692,26065,1276,11.4,31.5,17.6,23.2,12.4,15.4,77.3,9.2,0.8,4.1,1.1,7.5,18.5,4716,76.9,11.3,11.5,0.3,3.7
16.8,7991,7624,93.1,0.7,1.3,1,2.7,0,11464,53199,1609,26698,935,10.7,28.7,13,16.9,8.3,33.1,74,15.3,0.9,3.3,1.4,5.2,16.2,8447,82.9,10.5,6.5,0.2,2.7
18.6,100791,99715,91.7,1.5,1.9,1.4,1,0,160025,48331,1074,27190,463,16,33.6,21.2,23.7,10.2,11.3,78.1,9.4,2.5,4.7,1.5,3.9,19.6,96700,80.6,14.7,4.7,0.1,6.9
6.6,68449,68873,83.3,2.8,0.6,4.7,5.9,0,92941,87794,2092,36180,690,5.7,41.1,14.6,23.8,8.1,12.3,83.9,7.3,1.8,0.9,1.1,5,26.4,74498,86.6,9.2,4.1,0.1,4.6
9.6,46062,44339,92.5,1.9,0.4,2.4,1.2,0,64225,74170,2579,29923,811,7.9,34,16.1,23.4,10.7,15.8,83,9.2,1.4,0.7,1.4,4.3,32.3,47444,83.9,11.2,4.7,0.2,5.2
17.9,7611,7410,89.7,0.4,0.2,8.2,0.6,0,10967,56990,2491,27493,731,10.7,30.7,15.1,18,14.5,21.8,77.6,9.5,0.4,3.8,0.5,8.2,24.9,7867,77.9,11.4,10.3,0.4,5.5
13.4,76804,75791,89.4,3.7,0.3,3,1.9,0,113937,56336,975,27135,487,13.5,31.9,18.6,24.4,9.3,15.8,78.6,7.9,1.6,4.4,1.3,6.2,20.5,83520,83.2,11,5.6,0.2,5
15.9,17915,18608,87.9,2.5,0.1,7.1,0.9,0,26647,57858,2118,28087,949,10.4,31.7,15.7,25.7,8.3,18.6,86.3,7.2,0.6,1.6,1.1,3.3,17.9,18434,84,10.3,5.7,0.1,4.9
9.5,4896,4875,90.4,0.7,1,4.1,1.9,0.2,7406,52302,3546,25739,1450,18.4,33.3,19.6,22.2,11.9,13,73.1,7.6,1.4,10.3,2.4,5.3,12.7,5058,72.5,20,7.3,0.3,3.1
20.8,4803,4722,93.4,1.5,0.3,4.1,0.2,0,7373,49035,3973,27202,1006,12.5,32.8,16.3,19.1,11.3,20.4,75.6,9.1,0.6,6.3,1.8,6.7,16,4865,72.5,14.8,12.4,0.3,3.9
23.2,12500,11966,91.9,0.3,0.4,5.5,0.4,0,17968,46414,1967,23808,564,14.7,28.4,16,18.3,12.8,24.4,75.4,10.7,0.3,4.1,1.7,7.8,23.5,11437,76,12.1,11.1,0.8,5.1
14.3,1698,1731,91.5,0.5,3.4,2,0,0,2700,49186,2915,29120,1332,10.2,42,18.4,18.9,11.6,9.1,75.8,8.3,0.1,4.3,1.2,10.2,16,1623,66.3,15.5,18,0.2,2.9
10.1,10777,10604,95.1,0.1,0.1,2.9,0.4,0,16388,56510,1667,30468,1317,7.3,33.2,15.9,22,12.1,16.9,76.4,10,2.2,4.6,1.1,5.7,22.8,11221,79.5,9.4,10.9,0.2,3.6
19.5,6820,6939,95,0.9,1,1.6,0.6,0,10388,41906,2982,22002,1272,16.4,24.7,16.4,23.7,11.7,23.4,78.2,11.1,0.8,4.4,0.9,4.7,20.8,5859,78.8,12.5,8.6,0.1,5.2
9.8,9162,9914,89.5,2.6,0.4,5.7,0.8,0,14149,53564,3614,26457,1100,8.7,31.7,16.5,20.8,9.7,21.3,81.1,9.1,0.6,1.7,1.3,6.1,19.3,9630,79.5,11.9,8.4,0.2,4.6
6.2,121924,124746,84.4,3.8,0.3,3.7,5.2,0,178650,83706,1524,38461,614,5.4,45.2,15.1,23.4,6.5,9.7,83.3,7.8,2.2,1,0.9,4.8,25.8,130036,82.4,13.3,4.3,0.1,4.8
16.3,5468,5586,75.4,0.6,0.2,22.1,1.1,0,7481,50604,1759,25973,1235,10.8,28.1,13.5,18.3,16.1,24,77.4,10.1,0.4,4.7,1,6.3,19.5,5676,79.7,11.2,8.5,0.7,2.9
11.2,3316,3210,94.7,0.3,1.1,2.3,0.2,0,4973,51476,3286,26862,1242,9.9,32.6,15.1,21.9,14.6,15.9,77.8,10.1,0.2,3.6,0.7,7.6,19.1,3312,71.6,15.9,11.7,0.8,2
11.9,25183,26030,92,1.4,0.4,2.7,2.6,0,40797,50547,1745,24660,516,14.7,32.8,18.3,22.9,7.5,18.6,76.6,8.3,1.9,6.6,2,4.6,17.5,28307,82.3,11.4,6,0.3,6.2
7.1,64704,63987,93.1,1,0.4,2.7,1,0,89885,73557,2119,30238,566,6.2,35.1,14.3,24.3,11.4,15,83.3,8.2,0.8,1.4,1.5,4.8,30.4,67669,83.8,10.2,5.9,0.1,5.2
15.9,5170,4922,90.8,0.5,2.4,4.1,0.6,0,7680,53041,2157,26885,737,11.9,33.6,16.5,20.4,12.3,17.3,72,10.6,0.4,6.2,1.3,9.4,17.8,5147,73.8,11.4,14.6,0.3,3.4
